Nation,Position,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Cards,Red Cards,Shots,Shots on Target,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Shot Distance,Goals90,Assists90,G+A90,G-PK90,G+A-PK90,xG,npxG,xA,npxG+xA,xG90,xA90,xG+xA90,npxG90,npxG+xA90
France,Midfielder/Forward,Ligue 1,35,1985,17,1,226,2.5,2,1,1,1,2,1,0,8,2,25,3.19,0.8,0.13,0.5,16.2,0.8,0.4,1.19,0.4,0.8,2.3,0.8,1,1.8,0.9,0.4,1.3,0.3,0.7
Cameroon,Midfielder,La Liga,23,1997,12,2,343,3.8,0,0,0,0,0,3,0,2,0,0,0.52,0,0,,15.1,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Netherlands,Forward,Bundesliga,19,2002,9,1,131,1.5,0,2,0,0,0,0,0,4,0,0,2.75,0,0,,7.8,0,1.37,1.37,0,1.37,0.5,0.5,0.7,1.1,0.33,0.46,0.79,0.33,0.79
Albania,Forward,Premier League,19,2001,32,21,1975,21.9,6,0,6,0,0,2,0,48,19,39.6,2.19,0.87,0.13,0.32,12.1,0.27,0,0.27,0.27,0.27,7,7,1.3,8.4,0.32,0.06,0.38,0.32,0.38
Tunisia,Defender,Ligue 1,26,1995,30,28,2545,28.3,1,2,1,0,0,10,1,15,7,46.7,0.53,0.25,0.07,0.14,12.9,0.04,0.07,0.11,0.04,0.11,1.6,1.6,1,2.6,0.06,0.03,0.09,0.06,0.09
USA,Defender,Bundesliga,28,1993,31,29,2615,29.1,1,1,1,0,0,2,0,12,2,16.7,0.41,0.07,0.08,0.5,13,0.03,0.03,0.07,0.03,0.07,0.7,0.7,0.6,1.4,0.03,0.02,0.05,0.03,0.05
Germany,Defender,Bundesliga,33,1988,11,4,390,4.3,0,0,0,0,0,0,0,1,0,0,0.23,0,0,,45,0,0,0,0,0,0.1,0.1,0.4,0.4,0.02,0.09,0.1,0.02,0.1
United Kingdom,Midfielder,Premier League,25,1995,35,32,2955,32.8,2,3,2,0,0,10,0,29,9,31,0.88,0.27,0.07,0.22,22.2,0.06,0.09,0.15,0.06,0.15,1.4,1.4,2.5,3.9,0.04,0.08,0.12,0.04,0.12
Croatia,Midfielder,Serie A,28,1992,35,35,2937,32.6,2,1,2,0,0,7,0,32,13,40.6,0.98,0.4,0.06,0.15,20.7,0.06,0.03,0.09,0.06,0.09,1.2,1.2,1.8,3,0.04,0.06,0.09,0.04,0.09
Switzerland,Defender,Bundesliga,27,1994,27,26,2183,24.3,0,1,0,0,0,6,0,10,0,0,0.41,0,0,,26.9,0,0.04,0.04,0,0.04,0.3,0.3,1.3,1.6,0.01,0.06,0.07,0.01,0.07
United Kingdom,Midfielder,Premier League,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,Midfielder/Forward,Bundesliga,22,1998,25,9,812,9,4,0,4,0,0,1,0,18,7,38.9,2,0.78,0.22,0.57,11.9,0.44,0,0.44,0.44,0.44,3,3,1.5,4.5,0.33,0.17,0.5,0.33,0.5
Spain,Midfielder/Forward,Premier League,20,2001,9,0,94,1,0,0,0,0,0,0,0,11,2,18.2,1.31,0.24,0,0,16.2,0,0,0,0,0,0,0,0.1,0.1,0.03,0.07,0.1,0.03,0.1
Spain,Midfielder/Forward,La Liga,20,2001,13,9,753,8.4,0,1,0,0,0,3,0,1,1,100,0.96,0.96,0,0,16.2,0,0.12,0.12,0,0.12,1.1,1.1,1,2.2,0.13,0.12,0.26,0.13,0.26
Croatia,Forward,La Liga,30,1991,28,20,1738,19.3,8,2,6,2,2,3,0,44,18,40.9,2.28,0.93,0.14,0.33,11.5,0.41,0.1,0.52,0.31,0.41,8.4,7.1,1.3,8.4,0.44,0.07,0.5,0.37,0.43
Argentina,Midfielder/Forward,Premier League,24,1996,35,22,1899,21.1,4,6,4,0,0,1,0,44,14,31.8,2.09,0.66,0.09,0.29,17,0.19,0.28,0.47,0.19,0.47,3.1,3.1,5.5,8.6,0.14,0.26,0.41,0.14,0.41
Ghana,Midfielder/Forward,Ligue 1,22,1998,24,10,1012,11.2,2,4,2,0,0,1,0,20,9,45,1.78,0.8,0.1,0.22,17.7,0.18,0.36,0.53,0.18,0.53,1.8,1.8,2.3,4,0.16,0.2,0.36,0.16,0.36
Poland,Forward,Serie A,18,2003,4,0,63,0.7,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Defender,Serie A,22,1999,23,12,1181,13.1,0,1,0,0,0,5,0,0,0,,0,0,,,,0,0.08,0.08,0,0.08,0.5,0.5,0.7,1.2,0.04,0.05,0.09,0.04,0.09
Germany,Goalkeeper,Bundesliga,31,1989,14,14,1260,14,0,0,0,0,0,0,0,5,1,20,0.38,0.08,0,0,7.6,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01
Netherlands,Forward,Bundesliga,22,1998,3,0,27,0.3,1,0,1,0,0,0,0,0,0,,0,0,,,,3.33,0,3.33,3.33,3.33,0.2,0.2,0,0.2,0.73,0,0.73,0.73,0.73
Germany,Midfielder/Forward,Bundesliga,21,2000,34,32,2611,29,11,3,10,1,1,0,0,2,1,50,6.67,3.33,0.5,1,12.2,0.38,0.1,0.48,0.34,0.45,13.9,13.2,3.2,16.4,0.48,0.11,0.59,0.45,0.56
Switzerland,Goalkeeper,Bundesliga,30,1990,1,1,90,1,0,0,0,0,0,0,0,77,33,42.9,2.65,1.14,0.13,0.3,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Defender,Premier League,29,1992,16,16,1440,16,0,1,0,0,0,4,0,0,0,,0,0,,,,0,0.06,0.06,0,0.06,0.5,0.5,0.1,0.6,0.03,0.01,0.04,0.03,0.04
United Kingdom,Defender,Premier League,29,1992,13,12,1022,11.4,1,0,1,0,0,4,0,11,1,9.1,0.69,0.06,0,0,9.3,0.09,0,0.09,0.09,0.09,1.3,1.3,0,1.3,0.11,0,0.12,0.11,0.12
Belgium,Defender,Ligue 1,21,1999,18,13,1296,14.4,1,0,1,0,0,3,0,7,3,42.9,0.62,0.26,0.14,0.33,7.4,0.07,0,0.07,0.07,0.07,0.3,0.3,1.2,1.5,0.02,0.08,0.11,0.02,0.11
USA,Midfielder,Serie A,19,2002,29,23,1950,21.7,1,1,1,0,0,8,0,6,2,33.3,0.42,0.14,0.17,0.5,13.3,0.05,0.05,0.09,0.05,0.09,1,1,1.7,2.7,0.05,0.08,0.12,0.05,0.12
Spain,Midfielder,Ligue 1,22,1999,9,2,201,2.2,0,0,0,0,0,0,0,14,5,35.7,0.65,0.23,0.07,0.2,19.3,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Spain,Midfielder,La Liga,33,1988,36,36,3198,35.5,2,0,2,0,0,12,0,1,0,0,0.45,0,0,,24,0.06,0,0.06,0.06,0.06,0.7,0.7,1.9,2.6,0.02,0.05,0.07,0.02,0.07
United Kingdom,Goalkeeper,Premier League,28,1993,9,8,765,8.5,0,0,0,0,0,0,0,14,4,28.6,0.39,0.11,0.14,0.5,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Forward,La Liga,22,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,Goalkeeper,Ligue 1,21,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Forward,Bundesliga,16,2004,4,1,134,1.5,0,0,0,0,0,0,0,1,1,100,0.67,0.67,0,0,12,0,0,0,0,0,0.5,0.5,0.2,0.6,0.32,0.1,0.42,0.32,0.42
United Kingdom,Defender,Premier League,27,1993,15,11,1027,11.4,0,0,0,0,0,3,0,7,1,14.3,0.61,0.09,0,0,8.9,0,0,0,0,0,0.9,0.9,0.2,1.1,0.08,0.02,0.1,0.08,0.1
Uruguay,Defender,La Liga,26,1995,10,5,403,4.5,0,1,0,0,0,4,1,2,0,0,0.45,0,0,,8.5,0,0.22,0.22,0,0.22,0.4,0.4,0.4,0.8,0.09,0.08,0.17,0.09,0.17
Argentina,Goalkeeper,Premier League,39,1981,2,2,180,2,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Midfielder/Forward,Ligue 1,31,1990,5,3,313,3.5,0,0,0,0,0,0,0,2,0,0,0.58,0,0,,8.9,0,0,0,0,0,0.3,0.3,1,1.3,0.09,0.28,0.37,0.09,0.37
France,Defender,Ligue 1,27,1994,24,24,2008,22.3,0,5,0,0,0,4,0,11,3,27.3,0.49,0.13,0,0,20.8,0,0.22,0.22,0,0.22,0.6,0.6,2.4,3,0.03,0.11,0.14,0.03,0.14
Cape Verde,Forward,Serie A,23,1998,3,2,190,2.1,1,0,1,0,0,0,0,6,1,16.7,2.84,0.47,0.17,1,14.4,0.47,0,0.47,0.47,0.47,0.9,0.9,0.5,1.4,0.43,0.22,0.65,0.43,0.65
Uruguay,Defender,La Liga,30,1991,37,37,3330,37,2,0,2,0,0,7,0,17,6,35.3,0.46,0.16,0.12,0.33,10.2,0.05,0,0.05,0.05,0.05,1.3,1.3,0.3,1.6,0.04,0.01,0.04,0.04,0.04
New Zealand,Defender,Serie A,20,2000,10,5,466,5.2,0,0,0,0,0,1,0,1,0,0,0.19,0,0,,13,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Uruguay,Defender,La Liga,34,1987,10,9,663,7.4,0,0,0,0,0,2,0,7,1,14.3,0.76,0.11,0.14,1,18.4,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02
Uruguay,Defender,Serie A,34,1987,14,9,832,9.2,1,1,1,0,0,3,1,0,0,,0,0,,,,0.11,0.11,0.22,0.11,0.22,0.3,0.3,0.4,0.7,0.03,0.04,0.07,0.03,0.07
France,Defender,Ligue 1,24,1997,37,26,2395,26.6,1,3,1,0,0,4,0,15,5,33.3,0.56,0.19,0.07,0.2,17.5,0.04,0.11,0.15,0.04,0.15,1.2,1.2,4,5.2,0.04,0.15,0.19,0.04,0.19
France,Midfielder/Forward,Ligue 1,24,1997,4,3,192,2.1,0,0,0,0,0,2,0,6,3,50,2.81,1.41,0,0,23.1,0,0,0,0,0,0.2,0.2,0.3,0.5,0.11,0.14,0.25,0.11,0.25
France,Midfielder,Ligue 1,36,1985,17,6,618,6.9,0,0,0,0,0,1,1,1,0,0,0.15,0,0,,17.5,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01
Ecuador,Forward,Serie A,32,1988,9,1,284,3.2,1,2,1,0,0,1,0,12,3,25,3.8,0.95,0.08,0.33,13.5,0.32,0.63,0.95,0.32,0.95,1.2,1.2,0.9,2.2,0.39,0.29,0.68,0.39,0.68
Ecuador,Forward,Serie A,32,1988,3,0,23,0.3,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0.2,0.2,0,0.67,0.67,0,0.67
Ecuador,Midfielder,Premier League,19,2001,8,8,660,7.3,1,1,1,0,0,2,0,10,4,40,1.36,0.55,0.1,0.25,17.5,0.14,0.14,0.27,0.14,0.27,0.8,0.8,0.4,1.1,0.1,0.05,0.16,0.1,0.16
France,Goalkeeper,Ligue 1,27,1994,19,17,1542,17.1,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,Midfielder,Ligue 1,21,1999,8,4,364,4,2,0,1,1,1,0,0,8,5,62.5,1.98,1.24,0.13,0.2,14.7,0.49,0,0.49,0.25,0.25,1.9,1.1,0.1,1.2,0.46,0.02,0.48,0.28,0.29
Spain,Defender,La Liga,31,1989,14,10,947,10.5,0,0,0,0,0,8,1,5,0,0,0.48,0,0,,9.3,0,0,0,0,0,0.6,0.6,0,0.6,0.05,0,0.05,0.05,0.05
Italy,Defender,Serie A,24,1996,26,24,2119,23.5,2,2,2,0,0,2,0,36,8,22.2,1.53,0.34,0.06,0.25,20.2,0.08,0.08,0.17,0.08,0.17,3.2,3.2,1.4,4.6,0.14,0.06,0.2,0.14,0.2
Italy,Defender,Serie A,19,2002,3,1,82,0.9,0,0,0,0,0,1,0,1,0,0,1.1,0,0,,14.2,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05
Italy,Defender,Serie A,19,2002,6,2,174,1.9,0,1,0,0,0,2,0,0,0,,0,0,,,,0,0.52,0.52,0,0.52,0,0,0.8,0.8,0,0.41,0.41,0,0.41
Italy,Defender,Serie A,27,1994,31,30,2704,30,1,0,1,0,0,9,0,16,7,43.8,0.53,0.23,0.06,0.14,13.7,0.03,0,0.03,0.03,0.03,1.7,1.7,0,1.7,0.06,0,0.06,0.06,0.06
Spain,Defender,La Liga,21,2000,1,0,65,0.7,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0.1,0.1,0,0.19,0.19,0,0.19
Spain,Defender,La Liga,25,1995,16,13,1090,12.1,0,0,0,0,0,3,0,1,0,0,0.08,0,0,,16,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02
Croatia,Defender,Ligue 1,24,1996,26,24,2057,22.9,2,0,2,0,0,6,0,12,4,33.3,0.53,0.18,0.17,0.5,9.4,0.09,0,0.09,0.09,0.09,1.6,1.6,0.7,2.2,0.07,0.03,0.1,0.07,0.1
Turkey,Midfielder,Serie A,27,1994,34,33,2480,27.6,7,12,4,3,3,11,0,63,15,23.8,2.29,0.54,0.06,0.27,22.9,0.25,0.44,0.69,0.15,0.58,6.5,3.9,8.3,12.2,0.23,0.3,0.54,0.14,0.44
Italy,Defender/Midfielder,Bundesliga,33,1988,28,24,2004,22.3,4,2,1,3,3,4,0,34,11,32.4,1.53,0.49,0.03,0.09,23.4,0.18,0.09,0.27,0.04,0.13,4.1,1.9,2.5,4.3,0.19,0.11,0.3,0.08,0.19
Spain,Forward,Serie A,34,1987,30,16,1298,14.4,1,2,1,0,0,0,0,17,6,35.3,1.18,0.42,0.06,0.17,14.6,0.07,0.14,0.21,0.07,0.21,1.7,1.7,3,4.8,0.12,0.21,0.33,0.12,0.33
France,Defender,Ligue 1,19,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Forward,Premier League,24,1997,17,15,1283,14.3,5,2,3,2,3,2,0,30,11,36.7,2.1,0.77,0.1,0.27,13.1,0.35,0.14,0.49,0.21,0.35,6.8,4.6,1.8,6.4,0.48,0.13,0.61,0.32,0.45
France,Defender/Midfielder,Ligue 1,23,1998,35,34,3073,34.1,3,0,3,0,0,8,0,29,15,51.7,0.85,0.44,0.1,0.2,17.7,0.09,0,0.09,0.09,0.09,2.5,2.5,1.9,4.4,0.07,0.06,0.13,0.07,0.13
France,Forward,Ligue 1,20,2001,3,0,40,0.4,0,0,0,0,0,0,0,1,1,100,2.25,2.25,0,0,10,0,0,0,0,0,0.1,0.1,0,0.1,0.16,0,0.16,0.16,0.16
Spain,Midfielder/Forward,La Liga,27,1994,7,0,108,1.2,0,0,0,0,0,0,0,1,0,0,0.83,0,0,,34.1,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
France,Midfielder,La Liga,18,2002,26,13,1236,13.7,2,1,2,0,0,8,0,12,5,41.7,0.87,0.36,0.17,0.4,23.6,0.15,0.07,0.22,0.15,0.22,1,1,1.2,2.2,0.07,0.09,0.16,0.07,0.16
France,Midfielder,Ligue 1,18,2002,4,1,143,1.6,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Italy,Defender,Serie A,21,2000,26,21,1790,19.9,1,4,1,0,0,5,1,13,5,38.5,0.65,0.25,0.08,0.2,19.9,0.05,0.2,0.25,0.05,0.25,0.7,0.7,1.8,2.5,0.04,0.09,0.13,0.04,0.13
Spain,Midfielder,La Liga,28,1993,20,16,1422,15.8,2,2,2,0,1,6,1,12,5,41.7,0.76,0.32,0.17,0.4,20.8,0.13,0.13,0.25,0.13,0.25,1.6,0.8,1.4,2.2,0.1,0.09,0.19,0.05,0.14
United Kingdom,Midfielder,Premier League,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Defender/Midfielder,Bundesliga,27,1994,24,19,1690,18.8,5,1,1,4,4,5,0,6,2,33.3,0.32,0.11,0.17,0.5,30.6,0.27,0.05,0.32,0.05,0.11,3.2,0.1,0.7,0.8,0.17,0.04,0.21,0.01,0.05
Spain,Midfielder/Forward,La Liga,30,1991,34,33,2791,31,5,8,5,0,0,6,0,55,23,41.8,1.77,0.74,0.09,0.22,20.1,0.16,0.26,0.42,0.16,0.42,4.7,4.7,5.1,9.8,0.15,0.16,0.32,0.15,0.32
Italy,Defender/Midfielder,Serie A,19,2002,12,1,227,2.5,1,0,1,0,0,1,0,4,1,25,1.59,0.4,0.25,1,20.4,0.4,0,0.4,0.4,0.4,0.2,0.2,0.2,0.4,0.07,0.1,0.17,0.07,0.17
Portugal,Defender,Premier League,27,1994,36,36,3227,35.9,1,7,1,0,0,7,0,81,23,28.4,2.26,0.64,0.01,0.04,21.5,0.03,0.2,0.22,0.03,0.22,4.1,4.1,5.1,9.3,0.12,0.14,0.26,0.12,0.26
Guinea-Bissau,Defender,Ligue 1,23,1998,11,11,973,10.8,0,2,0,0,0,2,0,6,2,33.3,0.55,0.18,0,0,27.8,0,0.18,0.18,0,0.18,0.2,0.2,1.5,1.7,0.02,0.14,0.16,0.02,0.16
Italy,Midfielder/Forward,Serie A,34,1987,36,36,3119,34.7,7,10,6,1,2,6,1,72,20,27.8,2.08,0.58,0.08,0.3,21.8,0.2,0.29,0.49,0.17,0.46,6,4.5,6.7,11.1,0.17,0.19,0.36,0.13,0.32
Spain,Defender,Premier League,24,1997,31,25,2083,23.1,3,2,3,0,0,8,1,33,12,36.4,1.43,0.52,0.09,0.25,16.4,0.13,0.09,0.22,0.13,0.22,3,3,1.9,4.9,0.13,0.08,0.21,0.13,0.21
Spain,Midfielder/Forward,La Liga,21,2000,25,4,610,6.8,0,1,0,0,0,1,0,16,5,31.3,2.36,0.74,0,0,15.4,0,0.15,0.15,0,0.15,2.7,2.7,0.6,3.3,0.39,0.09,0.48,0.39,0.48
United Kingdom,Midfielder/Forward,Premier League,23,1998,8,5,441,4.9,0,0,0,0,0,2,0,4,0,0,0.82,0,0,,28.8,0,0,0,0,0,0.2,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07
Spain,Defender,La Liga,29,1992,1,0,4,0,0,0,0,0,0,0,0,1,0,0,22.5,0,0,,23,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0.74,0.74
France,Defender/Midfielder,Ligue 1,34,1987,30,12,1193,13.3,0,1,0,0,0,1,0,17,1,5.9,1.28,0.08,0,0,19,0,0.08,0.08,0,0.08,1.1,1.1,0.8,1.9,0.09,0.06,0.14,0.09,0.14
Italy,Midfielder,Serie A,26,1995,5,2,175,1.9,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Midfielder,La Liga,33,1988,30,26,2290,25.4,1,1,1,0,0,9,0,14,5,35.7,0.55,0.2,0.07,0.2,19.1,0.04,0.04,0.08,0.04,0.08,0.6,0.6,0.9,1.4,0.02,0.03,0.06,0.02,0.06
Italy,Midfielder/Forward,Serie A,28,1993,35,33,2739,30.4,12,7,10,2,2,4,0,65,26,40,2.14,0.85,0.15,0.38,18.1,0.39,0.23,0.62,0.33,0.56,7.3,5.7,6.8,12.5,0.24,0.22,0.46,0.19,0.41
Italy,Forward,Serie A,33,1987,36,31,2790,31,11,3,11,0,1,0,0,4,0,0,2.31,0,0,,11,0.35,0.1,0.45,0.35,0.45,10.8,9.8,3.4,13.3,0.35,0.11,0.46,0.32,0.43
Italy,Forward,Serie A,33,1987,2,2,156,1.7,0,1,0,0,0,1,0,54,28,51.9,1.74,0.9,0.2,0.39,12.6,0,0.58,0.58,0,0.58,0.7,0.7,0.4,1,0.39,0.21,0.6,0.39,0.6
France,Midfielder,Ligue 1,21,2000,31,26,2335,25.9,0,0,0,0,0,5,0,15,2,13.3,0.58,0.08,0,0,21.1,0,0,0,0,0,1,1,1.7,2.7,0.04,0.06,0.1,0.04,0.1
Italy,Defender,Serie A,20,2001,30,25,2215,24.6,0,0,0,0,0,6,0,10,0,0,0.41,0,0,,12.4,0,0,0,0,0,0.6,0.6,0.2,0.8,0.02,0.01,0.03,0.02,0.03
Spain,Defender/Midfielder,La Liga,28,1993,25,17,1544,17.2,0,1,0,0,0,2,0,12,4,33.3,0.7,0.23,0,0,24.6,0,0.06,0.06,0,0.06,0.5,0.5,0.6,1.2,0.03,0.04,0.07,0.03,0.07
Spain,Goalkeeper,La Liga,24,1997,24,24,2160,24,0,0,0,0,0,3,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Midfielder/Forward,Ligue 1,23,1997,32,13,1334,14.8,4,2,4,0,0,2,0,28,12,42.9,1.89,0.81,0.14,0.33,14.9,0.27,0.13,0.4,0.27,0.4,3.4,3.4,2.1,5.6,0.23,0.14,0.38,0.23,0.38
Brazil,Defender,Ligue 1,24,1996,28,17,1578,17.5,0,0,0,0,0,3,0,14,6,42.9,0.8,0.34,0,0,22.7,0,0,0,0,0,0.6,0.6,1.2,1.8,0.03,0.07,0.1,0.03,0.1
Spain,Midfielder,La Liga,20,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Defender,La Liga,28,1993,34,34,2957,32.9,3,0,3,0,0,4,1,29,10,34.5,0.88,0.3,0.1,0.3,13.6,0.09,0,0.09,0.09,0.09,2.5,2.5,0.3,2.8,0.08,0.01,0.09,0.08,0.09
Spain,Defender,La Liga,19,2002,1,0,24,0.3,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Defender/Midfielder,La Liga,27,1993,34,28,2583,28.7,6,6,4,2,2,5,0,49,10,20.4,1.71,0.35,0.08,0.4,18.3,0.21,0.21,0.42,0.14,0.35,6.1,4.6,6.2,10.8,0.21,0.22,0.43,0.16,0.38
Argentina,Forward,La Liga,30,1991,29,11,1168,13,2,0,2,0,0,3,0,24,10,41.7,1.85,0.77,0.08,0.2,9.7,0.15,0,0.15,0.15,0.15,2.9,2.9,0.2,3.1,0.22,0.01,0.24,0.22,0.24
Spain,Defender,La Liga,29,1992,24,17,1551,17.2,1,3,1,0,0,1,0,10,2,20,0.58,0.12,0.1,0.5,19.7,0.06,0.17,0.23,0.06,0.23,0.5,0.5,2.4,2.9,0.03,0.14,0.17,0.03,0.17
Portugal,Midfielder,La Liga,29,1992,33,20,1805,20.1,2,3,2,0,0,6,0,33,10,30.3,1.65,0.5,0.06,0.2,15.8,0.1,0.15,0.25,0.1,0.25,3.1,3.1,1.5,4.6,0.16,0.07,0.23,0.16,0.23
Italy,Defender,Serie A,23,1998,36,30,2586,28.7,0,1,0,0,0,10,0,11,0,0,0.38,0,0,,12,0,0.03,0.03,0,0.03,0.7,0.7,1.3,2,0.03,0.04,0.07,0.03,0.07
Brazil,Midfielder,La Liga,29,1992,32,31,2569,28.5,1,3,1,0,0,11,0,41,9,22,1.44,0.32,0.02,0.11,24.5,0.04,0.11,0.14,0.04,0.14,2.4,2.4,2.6,5,0.08,0.09,0.17,0.08,0.17
Poland,Defender,Premier League,23,1997,38,38,3377,37.5,4,3,4,0,0,8,0,36,13,36.1,0.96,0.35,0.11,0.31,18.2,0.11,0.08,0.19,0.11,0.19,2.4,2.4,1.9,4.4,0.07,0.05,0.12,0.07,0.12
Spain,Goalkeeper,La Liga,34,1986,14,14,1260,14,0,0,0,0,0,3,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01
Guinea-Bissau,Midfielder,Ligue 1,23,1998,17,11,801,8.9,2,0,2,0,0,1,0,11,7,63.6,1.24,0.79,0.18,0.29,26.2,0.22,0,0.22,0.22,0.22,1.1,1.1,0.5,1.6,0.12,0.06,0.18,0.12,0.18
Italy,Midfielder,Serie A,24,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Defender,Premier League,25,1995,27,22,2127,23.6,1,0,1,0,0,1,0,7,3,42.9,0.3,0.13,0.14,0.33,14.5,0.04,0,0.04,0.04,0.04,0.8,0.8,1.3,2.1,0.03,0.05,0.09,0.03,0.09
Belgium,Goalkeeper,Bundesliga,29,1992,28,28,2520,28,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Defender,Ligue 1,26,1995,28,28,2510,27.9,1,0,1,0,0,8,0,16,4,25,0.57,0.14,0.06,0.25,10.3,0.04,0,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05
Spain,Midfielder/Forward,Serie A,26,1995,5,1,125,1.4,0,0,0,0,0,1,0,2,0,0,1.44,0,0,,12.7,0,0,0,0,0,0.1,0.1,0.2,0.3,0.08,0.13,0.21,0.08,0.21
Germany,Midfielder/Forward,Bundesliga,34,1987,12,4,436,4.8,1,1,1,0,0,0,0,8,2,25,1.65,0.41,0.13,0.5,20.9,0.21,0.21,0.41,0.21,0.41,0.6,0.6,0.3,0.9,0.13,0.06,0.19,0.13,0.19
Spain,Defender,Premier League,27,1994,13,10,1024,11.4,2,0,2,0,0,1,0,10,5,50,0.88,0.44,0.2,0.4,18.9,0.18,0,0.18,0.18,0.18,0.8,0.8,1.2,2,0.07,0.1,0.17,0.07,0.17
Italy,Midfielder,Serie A,24,1997,23,16,1391,15.5,1,1,1,0,0,4,0,16,2,12.5,1.04,0.13,0.06,0.5,16.7,0.06,0.06,0.13,0.06,0.13,1.2,1.2,1.6,2.8,0.08,0.1,0.18,0.08,0.18
Italy,Midfielder,Serie A,26,1994,32,19,1707,19,1,2,1,0,0,8,0,12,4,33.3,0.63,0.21,0.08,0.25,25.9,0.05,0.11,0.16,0.05,0.16,0.4,0.4,2.4,2.8,0.02,0.13,0.15,0.02,0.15
Spain,Defender,La Liga,26,1994,36,36,3240,36,2,2,2,0,0,8,0,22,6,27.3,0.61,0.17,0.09,0.33,9.9,0.06,0.06,0.11,0.06,0.11,1.6,1.6,0.7,2.3,0.04,0.02,0.06,0.04,0.06
United Kingdom,Defender,Premier League,32,1989,31,27,2396,26.6,0,1,0,0,0,3,0,3,0,0,0.11,0,0,,8.4,0,0.04,0.04,0,0.04,0.1,0.1,0.3,0.5,0,0.01,0.02,0,0.02
Uruguay,Forward,Premier League,34,1987,15,7,766,8.5,2,1,2,0,0,0,0,18,6,33.3,2.11,0.7,0.11,0.33,11.4,0.23,0.12,0.35,0.23,0.35,3.4,3.4,1.4,4.7,0.39,0.16,0.55,0.39,0.55
Spain,Midfielder,La Liga,24,1996,11,2,276,3.1,0,0,0,0,0,1,0,10,3,30,3.26,0.98,0,0,19.8,0,0,0,0,0,0.7,0.7,0.1,0.8,0.22,0.04,0.27,0.22,0.27
